items	source	phylum	class	order	family	genus
g2_MAG_00033	Tatoosh_2019	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	GCA-2713145
g2_MAG_00038	Tatoosh_2019	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	
g1_MAG_00012	Squaxin_2019	Patescibacteria	Gracilibacteria	BD1-5	UBA6164	
g2_MAG_00036	Tatoosh_2019	Patescibacteria	Gracilibacteria	BD1-5		
g2_MAG_00004	Tatoosh_2019	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	UBA1609	
g2_MAG_00005	Tatoosh_2019	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	UBA1609	
g2_MAG_00002	Tatoosh_2019	Proteobacteria	Alphaproteobacteria	Caulobacterales	Maricaulaceae	Robiginitomaculum
g3_MAG_00018	Tatoosh_2017	Proteobacteria	Alphaproteobacteria	Caulobacterales	Maricaulaceae	Hellea
g3_MAG_00025	Tatoosh_2017	Proteobacteria	Alphaproteobacteria	Caulobacterales	Maricaulaceae	Litorimonas
g4_MAG_00001	Tatoosh_2018	Proteobacteria	Alphaproteobacteria	Caulobacterales	Maricaulaceae	Hellea
g1_MAG_00010	Squaxin_2019	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	
g2_MAG_00007	Tatoosh_2019	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	
g2_MAG_00016	Tatoosh_2019	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	
g2_MAG_00022	Tatoosh_2019	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	
g2_MAG_00025	Tatoosh_2019	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	UBA7328
g2_MAG_00028	Tatoosh_2019	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	
g2_MAG_00029	Tatoosh_2019	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	
g2_MAG_00031	Tatoosh_2019	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	
g2_MAG_00032	Tatoosh_2019	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	
g3_MAG_00014	Tatoosh_2017	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	
g3_MAG_00024	Tatoosh_2017	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	
g1_MAG_00003	Squaxin_2019	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	GCA-2401725
g1_MAG_00009	Squaxin_2019	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Dokdonia
g2_MAG_00006	Tatoosh_2019	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Olleya
g2_MAG_00013	Tatoosh_2019	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Nonlabens
g2_MAG_00017	Tatoosh_2019	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	HC6-5
g3_MAG_00004	Tatoosh_2017	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Dokdonia
g3_MAG_00006	Tatoosh_2017	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Lacinutrix
g3_MAG_00021	Tatoosh_2017	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	HC6-5
g1_MAG_00002	Squaxin_2019	Proteobacteria	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	Granulosicoccus
g2_MAG_00009	Tatoosh_2019	Proteobacteria	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	Granulosicoccus
g2_MAG_00011	Tatoosh_2019	Proteobacteria	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	GCA-1730015
g3_MAG_00002	Tatoosh_2017	Proteobacteria	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	Granulosicoccus
g3_MAG_00011	Tatoosh_2017	Proteobacteria	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	Granulosicoccus
g4_MAG_00004	Tatoosh_2018	Proteobacteria	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	Granulosicoccus
g1_MAG_00004	Squaxin_2019	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	GCA-2708415
g1_MAG_00008	Squaxin_2019	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	GCA-2708415
