MAG_names	Assimilatory_nitrate_reduction_K00372_nasA	Assimilatory_nitrite_reduction_K00366_nirA	Nitrate_reduction_K00374_narI	Nitrite_reduction_K00362_nirB	Nitrite_reduction_K00363_nirD	Nitrite_reduction_K00368_nirK	Urease_K01428_ureC	Urease_K01429_ureB	Urease_K01430_ureA	Urease_K14048_ureAB	phylum	class	order	family	genus
g1_MAG_00001	N	N	N	N	N	N	N	N	N	N	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	UBA985
g1_MAG_00002	N	N	Y	N	N	N	Y	Y	Y	N	Proteobacteria	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	Granulosicoccus
g1_MAG_00003	Y	N	N	Y	Y	N	N	N	N	N	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	GCA-2401725
g1_MAG_00004	N	N	N	N	N	N	N	N	N	N	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	GCA-2708415
g1_MAG_00005	N	N	N	N	N	N	N	N	N	N	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	GCA-2402195
g1_MAG_00006	N	N	N	Y	Y	N	N	N	N	N	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	
g1_MAG_00007	N	Y	N	N	N	N	N	N	N	N	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	
g1_MAG_00008	N	N	N	N	N	N	N	N	N	N	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	GCA-2708415
g1_MAG_00009	N	N	N	N	N	N	N	N	N	N	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Dokdonia
g1_MAG_00010	N	N	N	N	N	N	N	N	N	N	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	
g1_MAG_00011	Y	N	N	Y	Y	N	Y	N	Y	N	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans
g1_MAG_00012	N	N	N	N	N	N	N	N	N	N	Patescibacteria	Gracilibacteria	BD1-5	UBA6164	
g1_MAG_00013	N	N	N	N	N	N	N	N	N	N	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans
g2_MAG_00001	N	N	N	N	N	N	N	N	N	N	Bdellovibrionota	Oligoflexia	Oligoflexales		
g2_MAG_00002	N	N	N	N	N	N	N	N	N	N	Proteobacteria	Alphaproteobacteria	Caulobacterales	Maricaulaceae	Robiginitomaculum
g2_MAG_00003	N	N	N	N	N	N	N	N	N	N	Bdellovibrionota	Oligoflexia	Oligoflexales		
g2_MAG_00004	N	N	N	N	N	N	N	N	N	N	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	UBA1609	
